date,elevation,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,cumulative_temperature_2m_mean,cumulative_apparent_temperature_mean,cumulative_daylight_duration,cumulative_sunshine_duration,cumulative_precipitation_sum,cumulative_rain_sum,cumulative_precipitation_hours,cumulative_shortwave_radiation_sum,cumulative_et0_fao_evapotranspiration,day
2025-01-01 16:00:00+00:00,940.0,15.02,12.92,13.692917,16.203205,13.355448,14.439357,38532.484,0.0,19.899998,19.899998,24.0,4.1556225,15.84,105.99164,1.42,0.38197103,13.692917,14.439357,38532.484,0.0,19.899998,19.899998,24.0,1.42,0.38197103,1
2025-01-02 16:00:00+00:00,940.0,13.62,10.12,12.347083,14.144413,9.406817,12.532508,38555.824,0.0,15.0,15.0,24.0,5.402999,28.08,69.42503,3.14,0.5960661,26.04,26.971865,77088.31,0.0,34.899998,34.899998,48.0,4.56,0.9780371,2
2025-01-03 16:00:00+00:00,940.0,14.22,8.77,11.215833,13.154482,8.119583,10.523838,38580.883,30037.504,4.3,4.3,16.0,7.6409945,34.92,92.526085,11.91,1.7548293,37.255833,37.495705,115669.195,30037.504,39.199997,39.199997,64.0,16.47,2.7328663,3
2025-01-04 16:00:00+00:00,940.0,16.07,11.52,13.509582,16.43001,10.871594,13.51659,38607.633,32878.703,8.400001,8.400001,21.0,5.154415,28.08,170.85841,11.13,1.7536706,50.765415,51.012295,154276.83,62916.207,47.6,47.6,85.0,27.599998,4.486537,4
2025-01-05 16:00:00+00:00,940.0,13.87,9.37,12.234585,13.461657,8.601322,11.775336,38636.047,27502.023,3.9,3.9,16.0,7.69592,35.64,93.62646,8.88,1.368213,63.0,62.787632,192912.88,90418.234,51.5,51.5,101.0,36.48,5.85475,5
2025-01-06 16:00:00+00:00,940.0,11.92,8.27,9.913751,10.922068,7.411028,9.215427,38666.11,10834.249,11.9,11.9,24.0,5.414979,23.4,110.69209,5.03,0.8560068,72.91375,72.00306,231578.98,101252.484,63.4,63.4,125.0,41.51,6.710757,6
2025-01-07 16:00:00+00:00,940.0,13.27,8.67,10.97,13.037809,7.9863253,10.637574,38698.12,17184.443,10.599998,10.599998,24.0,5.634891,21.599998,104.26453,6.79,1.0662781,83.88375,82.64063,270277.1,118436.93,74.0,74.0,149.0,48.3,7.7770348,7
2025-01-08 16:00:00+00:00,940.0,12.27,8.52,10.401251,12.006237,7.647581,9.780028,38732.195,14232.928,22.1,22.1,23.0,6.7469993,24.119999,79.67903,5.37,0.79396474,94.285,92.42066,309009.28,132669.86,96.1,96.1,172.0,53.67,8.570999,8
2025-01-09 16:00:00+00:00,940.0,9.67,6.87,8.417918,8.405861,5.655261,7.3106656,38768.258,0.0,26.700003,26.700003,24.0,5.937272,22.319998,95.31706,3.88,0.63931555,102.70292,99.73133,347777.53,132669.86,122.8,122.8,196.0,57.55,9.210315,9
2025-01-10 16:00:00+00:00,940.0,9.62,6.77,8.184585,8.899917,5.4585085,7.217259,38806.24,0.0,30.300001,30.300001,24.0,5.318383,23.759998,122.35226,2.73,0.50473964,110.887505,106.94859,386583.78,132669.86,153.1,153.1,220.0,60.28,9.7150545,10
2025-01-11 16:00:00+00:00,940.0,10.570001,7.77,8.745001,9.018809,6.5634174,7.650479,38846.055,0.0,18.499998,18.499998,21.0,6.384293,24.84,121.92087,2.85,0.57996976,119.63251,114.599075,425429.84,132669.86,171.6,171.6,241.0,63.129997,10.295024,11
2025-01-12 16:00:00+00:00,940.0,12.42,6.1699996,8.930416,10.954821,4.881362,7.7647552,38887.633,24156.441,3.8000002,3.8000002,17.0,5.3517847,22.319998,135.12993,6.81,1.0959837,128.56293,122.36383,464317.47,156826.3,175.40001,175.40001,258.0,69.939995,11.391007,12
2025-01-13 16:00:00+00:00,940.0,16.019999,8.02,12.195,15.260984,6.573617,11.528279,38930.895,33438.56,1.8,1.8,10.0,6.7469993,25.919998,180.7979,12.65,1.9666651,140.75793,133.8921,503248.38,190264.86,177.20001,177.20001,268.0,82.59,13.357673,13
2025-01-14 16:00:00+00:00,940.0,13.52,8.72,11.974167,14.354649,7.898732,11.919849,38975.777,2431.186,15.900001,15.900001,24.0,5.2323985,23.039999,59.858727,2.96,0.5653906,152.7321,145.81195,542224.1,192696.05,193.1,193.1,292.0,85.549995,13.923063,14
2025-01-15 16:00:00+00:00,940.0,10.52,7.6199994,8.759584,9.206976,6.623497,7.656566,39022.2,707.62305,16.099998,16.099998,24.0,6.1569467,21.96,111.46503,4.14,0.735,161.49168,153.46852,581246.3,193403.67,209.20001,209.20001,316.0,89.689995,14.658063,15
2025-01-16 16:00:00+00:00,940.0,10.320001,7.22,8.574165,8.69001,6.3036823,7.3567586,39070.086,3493.4465,16.1,16.1,21.0,6.0908127,20.16,110.848015,4.41,0.7770046,170.06586,160.82529,620316.4,196897.12,225.30002,225.30002,337.0,94.09999,15.435067,16
2025-01-17 16:00:00+00:00,940.0,13.22,7.1699996,10.17625,12.39352,5.9754677,9.437537,39119.363,16403.436,9.9,9.9,23.0,6.6087217,23.759998,127.822845,6.06,1.0135729,180.24211,170.26282,659435.75,213300.56,235.20001,235.20001,360.0,100.15999,16.44864,17
2025-01-18 16:00:00+00:00,940.0,15.17,10.820001,12.461669,15.676939,10.570387,12.605554,39169.965,20690.96,19.099998,19.099998,24.0,5.4833565,27.72,165.22537,7.84,1.2301704,192.70378,182.86838,698605.7,233991.53,254.30002,254.30002,384.0,107.999985,17.678812,18
2025-01-19 16:00:00+00:00,940.0,14.72,9.42,11.445001,13.919315,8.855768,10.977706,39221.82,19678.81,13.299999,13.299999,24.0,7.0911775,24.84,109.65391,6.74,1.1693398,204.14879,193.84608,737827.5,253670.34,267.6,267.6,408.0,114.73998,18.848152,19
2025-01-20 16:00:00+00:00,940.0,12.820001,9.42,10.9575,11.941717,8.814959,10.298942,39274.848,15056.299,5.0,5.0,22.0,6.384293,24.119999,115.103714,6.38,1.0567671,215.1063,204.14502,777102.4,268726.66,272.6,272.6,430.0,121.11998,19.904919,20
2025-01-21 16:00:00+00:00,940.0,14.570001,10.42,12.434585,14.644335,9.766458,12.1922,39328.99,29622.9,7.7999997,7.7999997,18.0,5.0142193,28.8,187.49573,9.03,1.4217732,227.54088,216.33722,816431.4,298349.56,280.4,280.4,448.0,130.14998,21.326693,21
2025-01-22 16:00:00+00:00,940.0,25.019999,10.52,14.620002,25.34779,9.685269,14.927586,39384.17,32849.145,12.299999,12.299999,24.0,6.1120534,30.239998,225.52075,12.57,2.1271942,242.16087,231.2648,855815.56,331198.72,292.69998,292.69998,472.0,142.71997,23.453886,22
2025-01-23 16:00:00+00:00,940.0,17.32,12.77,14.307502,18.047441,13.042265,14.504136,39440.324,31845.154,10.399999,10.399999,19.0,7.555712,34.92,107.74485,13.27,2.1024997,256.46838,245.76894,895255.9,363043.88,303.09998,303.09998,491.0,155.98997,25.556385,23
2025-01-24 16:00:00+00:00,940.0,16.32,11.77,13.678333,16.016125,12.024675,13.735839,39497.38,28735.21,10.400001,10.400001,19.0,7.2805495,32.760002,75.44633,10.06,1.6327233,270.14673,259.50476,934753.25,391779.1,313.49997,313.49997,510.0,166.04997,27.189108,24
2025-01-25 16:00:00+00:00,940.0,14.27,11.02,12.390834,14.444597,11.089765,12.32471,39555.273,25468.984,23.1,23.1,24.0,6.66,28.08,102.26478,8.2,1.295678,282.53757,271.82947,974308.5,417248.06,336.59998,336.59998,534.0,174.24997,28.484785,25
2025-01-26 16:00:00+00:00,940.0,10.72,6.87,9.0825,10.718107,5.6903896,8.4297495,39613.953,0.0,62.400005,62.400005,24.0,4.913044,25.56,101.493416,2.11,0.4282784,291.62006,280.25922,1013922.44,417248.06,398.99997,398.99997,558.0,176.35997,28.913063,26
2025-01-27 16:00:00+00:00,940.0,10.820001,5.22,7.6033344,8.862141,3.6568203,6.007295,39673.93,25368.223,7.9000006,7.9000006,21.0,7.4932766,30.960001,91.13725,10.32,1.4479588,299.2234,286.2665,1053596.4,442616.28,406.89996,406.89996,579.0,186.67996,30.361021,27
2025-01-28 16:00:00+00:00,940.0,9.97,5.77,7.6970844,8.177779,4.335265,6.1694016,39735.45,12809.575,9.0,9.0,24.0,7.5213294,24.119999,110.187454,6.16,0.9492268,306.92047,292.4359,1093331.9,455425.84,415.89996,415.89996,603.0,192.83997,31.310247,28
2025-01-29 16:00:00+00:00,940.0,13.17,7.12,10.12625,11.902721,6.095251,9.065015,39798.4,15156.335,2.9999995,2.9999995,15.0,7.4520864,27.72,140.47461,7.52,1.2132809,317.04672,301.50092,1133130.2,470582.2,418.89996,418.89996,618.0,200.35997,32.52353,29
2025-01-30 16:00:00+00:00,940.0,16.17,10.37,12.636668,16.500359,9.276256,12.470505,39862.71,3457.382,9.999999,9.999999,23.0,4.3349743,24.48,240.88878,3.95,0.76296467,329.68338,313.97144,1172993.0,474039.56,428.89996,428.89996,641.0,204.30997,33.286495,30
